inputs_pretokenized,targets_pretokenized,dataset
Determine the length of 'consciousness'. Provide your answer in words.,one three,dataset4
Determine the length of 'fist'. Provide your answer in words.,four,dataset4
Determine the length of 'soul'. Provide your answer in words.,four,dataset4
Determine the length of 'salesman'. Provide your answer in words.,eight,dataset4
Determine the length of 'anxiety'. Provide your answer in words.,seven,dataset4
Determine the length of 'sister'. Provide your answer in words.,six,dataset4
Determine the length of 'historian'. Provide your answer in words.,nine,dataset4
Determine the length of 'loan'. Provide your answer in words.,four,dataset4
Determine the length of 'professor'. Provide your answer in words.,nine,dataset4
Determine the length of 'atom'. Provide your answer in words.,four,dataset4
Determine the length of 'dallas'. Provide your answer in words.,six,dataset4
Determine the length of 'sewage'. Provide your answer in words.,six,dataset4
Determine the length of 'measurement'. Provide your answer in words.,one one,dataset4
Determine the length of 'pansy'. Provide your answer in words.,five,dataset4
Determine the length of 'hero'. Provide your answer in words.,four,dataset4
Determine the length of 'possibility'. Provide your answer in words.,one one,dataset4
Determine the length of 'factory'. Provide your answer in words.,seven,dataset4
Determine the length of 'consequence'. Provide your answer in words.,one one,dataset4
Determine the length of 'september'. Provide your answer in words.,nine,dataset4
Determine the length of 'flux'. Provide your answer in words.,four,dataset4
Determine the length of 'hypothalamus'. Provide your answer in words.,one two,dataset4
Determine the length of 'tangent'. Provide your answer in words.,seven,dataset4
Determine the length of 'anaconda'. Provide your answer in words.,eight,dataset4
Determine the length of 'mission'. Provide your answer in words.,seven,dataset4
Determine the length of 'emphasis'. Provide your answer in words.,eight,dataset4
Determine the length of 'atmosphere'. Provide your answer in words.,one zero,dataset4
Determine the length of 'security'. Provide your answer in words.,eight,dataset4
Determine the length of 'pistol'. Provide your answer in words.,six,dataset4
Determine the length of 'editor'. Provide your answer in words.,six,dataset4
Determine the length of 'bring'. Provide your answer in words.,five,dataset4
Determine the length of 'write'. Provide your answer in words.,five,dataset4
Determine the length of 'spend'. Provide your answer in words.,five,dataset4
Determine the length of 'teach'. Provide your answer in words.,five,dataset4
Determine the length of 'send'. Provide your answer in words.,four,dataset4
Determine the length of 'imagine'. Provide your answer in words.,seven,dataset4
Determine the length of 'insist'. Provide your answer in words.,six,dataset4
Determine the length of 'prove'. Provide your answer in words.,five,dataset4
Determine the length of 'establish'. Provide your answer in words.,nine,dataset4
Determine the length of 'conduct'. Provide your answer in words.,seven,dataset4
Determine the length of 'destroy'. Provide your answer in words.,seven,dataset4
Determine the length of 'represent'. Provide your answer in words.,nine,dataset4
Determine the length of 'believe'. Provide your answer in words.,seven,dataset4
Determine the length of 'adopt'. Provide your answer in words.,five,dataset4
Determine the length of 'remain'. Provide your answer in words.,six,dataset4
Determine the length of 'authorize'. Provide your answer in words.,nine,dataset4
Determine the length of 'promote'. Provide your answer in words.,seven,dataset4
Determine the length of 'complain'. Provide your answer in words.,eight,dataset4
Determine the length of 'deserve'. Provide your answer in words.,seven,dataset4
Determine the length of 'succeed'. Provide your answer in words.,seven,dataset4
Determine the length of 'differ'. Provide your answer in words.,six,dataset4
Determine the length of 'approve'. Provide your answer in words.,seven,dataset4
Determine the length of 'have'. Provide your answer in words.,four,dataset4
Determine the length of 'resemble'. Provide your answer in words.,eight,dataset4
Determine the length of 'entertain'. Provide your answer in words.,nine,dataset4
Determine the length of 'remind'. Provide your answer in words.,six,dataset4
Determine the length of 'pray'. Provide your answer in words.,four,dataset4
Determine the length of 'exceed'. Provide your answer in words.,six,dataset4
Determine the length of 'suggest'. Provide your answer in words.,seven,dataset4
Determine the length of 'shout'. Provide your answer in words.,five,dataset4
Determine the length of 'grin'. Provide your answer in words.,four,dataset4
Determine the length of 'entitle'. Provide your answer in words.,seven,dataset4
Determine the length of 'wipe'. Provide your answer in words.,four,dataset4
Determine the length of 'investigate'. Provide your answer in words.,one one,dataset4
Determine the length of 'argue'. Provide your answer in words.,five,dataset4
Determine the length of 'thank'. Provide your answer in words.,five,dataset4
Determine the length of 'borrow'. Provide your answer in words.,six,dataset4
Determine the length of 'grasp'. Provide your answer in words.,five,dataset4
Determine the length of 'lower'. Provide your answer in words.,five,dataset4
Determine the length of 'assign'. Provide your answer in words.,six,dataset4
Determine the length of 'forbid'. Provide your answer in words.,six,dataset4
Determine the length of 'invent'. Provide your answer in words.,six,dataset4
Determine the length of 'obey'. Provide your answer in words.,four,dataset4
Determine the length of 'compose'. Provide your answer in words.,seven,dataset4
Determine the length of 'deem'. Provide your answer in words.,four,dataset4
Determine the length of 'contribute'. Provide your answer in words.,one zero,dataset4
Determine the length of 'proclaim'. Provide your answer in words.,eight,dataset4
Determine the length of 'inspect'. Provide your answer in words.,seven,dataset4
Determine the length of 'descend'. Provide your answer in words.,seven,dataset4
Determine the length of 'appreciate'. Provide your answer in words.,one zero,dataset4
Determine the length of 'injure'. Provide your answer in words.,six,dataset4
Determine the length of 'postpone'. Provide your answer in words.,eight,dataset4
Determine the length of 'interfere'. Provide your answer in words.,nine,dataset4
Determine the length of 'incur'. Provide your answer in words.,five,dataset4
Determine the length of 'choose'. Provide your answer in words.,six,dataset4
Determine the length of 'denote'. Provide your answer in words.,six,dataset4
Determine the length of 'introduce'. Provide your answer in words.,nine,dataset4
Determine the length of 'confess'. Provide your answer in words.,seven,dataset4
Determine the length of 'perpetuate'. Provide your answer in words.,one zero,dataset4
Determine the length of 'depend'. Provide your answer in words.,six,dataset4
Determine the length of 'dwindle'. Provide your answer in words.,seven,dataset4
Determine the length of 'hesitate'. Provide your answer in words.,eight,dataset4
Determine the length of 'comply'. Provide your answer in words.,six,dataset4
Determine the length of 'amend'. Provide your answer in words.,five,dataset4
Determine the length of 'explain'. Provide your answer in words.,seven,dataset4
Determine the length of 'abolish'. Provide your answer in words.,seven,dataset4
Determine the length of 'preach'. Provide your answer in words.,six,dataset4
Determine the length of 'inflict'. Provide your answer in words.,seven,dataset4
Determine the length of 'dilute'. Provide your answer in words.,six,dataset4
Determine the length of 'assure'. Provide your answer in words.,six,dataset4
Determine the length of 'characterize'. Provide your answer in words.,one two,dataset4
Determine the length of 'survive'. Provide your answer in words.,seven,dataset4
Determine the length of 'chuckle'. Provide your answer in words.,seven,dataset4
Determine the length of 'disturb'. Provide your answer in words.,seven,dataset4
Determine the length of 'bawl'. Provide your answer in words.,four,dataset4
Determine the length of 'accompany'. Provide your answer in words.,nine,dataset4
Determine the length of 'appoint'. Provide your answer in words.,seven,dataset4
Determine the length of 'contemplate'. Provide your answer in words.,one one,dataset4
Determine the length of 'lurk'. Provide your answer in words.,four,dataset4
Determine the length of 'replace'. Provide your answer in words.,seven,dataset4
Determine the length of 'impart'. Provide your answer in words.,six,dataset4
Determine the length of 'sponsor'. Provide your answer in words.,seven,dataset4
Determine the length of 'flatter'. Provide your answer in words.,seven,dataset4
Determine the length of 'vary'. Provide your answer in words.,four,dataset4
Determine the length of 'enforce'. Provide your answer in words.,seven,dataset4
Determine the length of 'ignore'. Provide your answer in words.,six,dataset4
Determine the length of 'writhe'. Provide your answer in words.,six,dataset4
Determine the length of 'haul'. Provide your answer in words.,four,dataset4
Determine the length of 'enroll'. Provide your answer in words.,six,dataset4
Determine the length of 'disclose'. Provide your answer in words.,eight,dataset4
Determine the length of 'engender'. Provide your answer in words.,eight,dataset4
Determine the length of 'allocate'. Provide your answer in words.,eight,dataset4
Determine the length of 'organize'. Provide your answer in words.,eight,dataset4
Determine the length of 'strive'. Provide your answer in words.,six,dataset4
Determine the length of 'revise'. Provide your answer in words.,six,dataset4
Determine the length of 'reaffirm'. Provide your answer in words.,eight,dataset4
Determine the length of 'many'. Provide your answer in words.,four,dataset4
Determine the length of 'same'. Provide your answer in words.,four,dataset4
Determine the length of 'economic'. Provide your answer in words.,eight,dataset4
Determine the length of 'strong'. Provide your answer in words.,six,dataset4
Determine the length of 'another'. Provide your answer in words.,seven,dataset4
Determine the length of 'vocational'. Provide your answer in words.,one zero,dataset4
Determine the length of 'successful'. Provide your answer in words.,one zero,dataset4
Determine the length of 'aware'. Provide your answer in words.,five,dataset4
Determine the length of 'recent'. Provide your answer in words.,six,dataset4
Determine the length of 'known'. Provide your answer in words.,five,dataset4
Determine the length of 'sudden'. Provide your answer in words.,six,dataset4
Determine the length of 'southern'. Provide your answer in words.,eight,dataset4
Determine the length of 'increased'. Provide your answer in words.,nine,dataset4
Determine the length of 'medical'. Provide your answer in words.,seven,dataset4
Determine the length of 'interesting'. Provide your answer in words.,one one,dataset4
Determine the length of 'literary'. Provide your answer in words.,eight,dataset4
Determine the length of 'typical'. Provide your answer in words.,seven,dataset4
Determine the length of 'soviet'. Provide your answer in words.,six,dataset4
Determine the length of 'minimal'. Provide your answer in words.,seven,dataset4
Determine the length of 'huge'. Provide your answer in words.,four,dataset4
Determine the length of 'willing'. Provide your answer in words.,seven,dataset4
Determine the length of 'occasional'. Provide your answer in words.,one zero,dataset4
Determine the length of 'needed'. Provide your answer in words.,six,dataset4
Determine the length of 'located'. Provide your answer in words.,seven,dataset4
Determine the length of 'related'. Provide your answer in words.,seven,dataset4
Determine the length of 'foreign'. Provide your answer in words.,seven,dataset4
Determine the length of 'pursuant'. Provide your answer in words.,eight,dataset4
Determine the length of 'nonspecific'. Provide your answer in words.,one one,dataset4
Determine the length of 'silent'. Provide your answer in words.,six,dataset4
Determine the length of 'numerous'. Provide your answer in words.,eight,dataset4
Determine the length of 'pure'. Provide your answer in words.,four,dataset4
Determine the length of 'enormous'. Provide your answer in words.,eight,dataset4
Determine the length of 'administrative'. Provide your answer in words.,one four,dataset4
Determine the length of 'electrical'. Provide your answer in words.,one zero,dataset4
Determine the length of 'convenient'. Provide your answer in words.,one zero,dataset4
Determine the length of 'chief'. Provide your answer in words.,five,dataset4
Determine the length of 'reasonable'. Provide your answer in words.,one zero,dataset4
Determine the length of 'surprised'. Provide your answer in words.,nine,dataset4
Determine the length of 'northern'. Provide your answer in words.,eight,dataset4
Determine the length of 'aqueous'. Provide your answer in words.,seven,dataset4
Determine the length of 'proud'. Provide your answer in words.,five,dataset4
Determine the length of 'regional'. Provide your answer in words.,eight,dataset4
Determine the length of 'physiological'. Provide your answer in words.,one three,dataset4
Determine the length of 'clinical'. Provide your answer in words.,eight,dataset4
Determine the length of 'satisfactory'. Provide your answer in words.,one two,dataset4
Determine the length of 'creative'. Provide your answer in words.,eight,dataset4
Determine the length of 'changing'. Provide your answer in words.,eight,dataset4
Determine the length of 'respiratory'. Provide your answer in words.,one one,dataset4
Determine the length of 'definite'. Provide your answer in words.,eight,dataset4
Determine the length of 'quiet'. Provide your answer in words.,five,dataset4
Determine the length of 'sympathetic'. Provide your answer in words.,one one,dataset4
Determine the length of 'expensive'. Provide your answer in words.,nine,dataset4
Determine the length of 'autonomic'. Provide your answer in words.,nine,dataset4
Determine the length of 'extraordinary'. Provide your answer in words.,one three,dataset4
Determine the length of 'concerned'. Provide your answer in words.,nine,dataset4
Determine the length of 'structured'. Provide your answer in words.,one zero,dataset4
Determine the length of 'unadjusted'. Provide your answer in words.,one zero,dataset4
Determine the length of 'crowded'. Provide your answer in words.,seven,dataset4
Determine the length of 'covered'. Provide your answer in words.,seven,dataset4
Determine the length of 'municipal'. Provide your answer in words.,nine,dataset4
Determine the length of 'entitled'. Provide your answer in words.,eight,dataset4
Determine the length of 'retired'. Provide your answer in words.,seven,dataset4
Determine the length of 'brilliant'. Provide your answer in words.,nine,dataset4
Determine the length of 'biological'. Provide your answer in words.,one zero,dataset4
